Event	ID	Name			Wwise Object Path	Notes
	215992295	Player_Health			\Default Work Unit\Player_Health	
	3695342915	Player_WeaponImpact			\Default Work Unit\Player_WeaponImpact	
	3808743129	Player_WeaponSwing			\Default Work Unit\Player_WeaponSwing	

Switch Group	ID	Name			Wwise Object Path	Notes
	3251833556	Player_Weapon_Type			\Default Work Unit\Player_Weapon_Type	
	4064446173	Surface_Type			\Default Work Unit\Surface_Type	

Switch	ID	Name	Switch Group			Notes
	490825222	PickAxe	Player_Weapon_Type			
	703486095	Hammer	Player_Weapon_Type			
	765201635	Axe	Player_Weapon_Type			
	2454616260	Sword	Player_Weapon_Type			
	3732162827	Dagger	Player_Weapon_Type			
	286660663	Rubble	Surface_Type			
	389757836	Agent	Surface_Type			
	442447909	Barrel	Surface_Type			
	582824249	Leaves	Surface_Type			
	803837735	Sand	Surface_Type			
	1216965916	Stone	Surface_Type			
	1647104456	Enemy_EvilCrawler	Surface_Type			
	2058049674	Wood	Surface_Type			
	2195636714	Dirt	Surface_Type			
	2473969246	Metal	Surface_Type			
	2654748154	Water	Surface_Type			
	3065846598	Enemy_EvilHead	Surface_Type			
	3098439042	Crate	Surface_Type			
	3276966729	Enemy_EvilSpitPlant	Surface_Type			
	3444057113	Crystal	Surface_Type			
	4248645337	Grass	Surface_Type			

State Group	ID	Name			Wwise Object Path	Notes
	2333396925	Combo			\Default Work Unit\Combo	

State	ID	Name	State Group			Notes
	748895195	None	Combo			
	1736510753	RightSwing	Combo			
	2398785008	LeftSwing	Combo			
	2416766296	TopSwing	Combo			

Game Parameter	ID	Name			Wwise Object Path	Notes
	215992295	Player_Health			\Default Work Unit\Player_Health	

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	270885726	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\Diegetic Sounds\Player\Health\Heartbeat\Heartbeat_Silence\Wwise Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	55750318	Adventuress_Attack_Top (7)	D:\Documents\GitHub\WwiseProject\Wwise Audio Design\.cache\Windows\SFX\Adventuress_Attack_Top (7)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Diegetic Sounds\Player\Attack\Adventuress_Attack\Adventuress_Attack_Top\Adventuress_Attack_Top (7)		168064
	61270103	BAS_Evil_SpitPlant_Hurt_02	D:\Documents\GitHub\WwiseProject\Wwise Audio Design\.cache\Windows\SFX\Impacts\BAS_Evil_SpitPlant_Hurt_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Diegetic Sounds\Player\Attack\Weapon_Impact_Type\Impact_Axe\Impact_Axe_EvilSpitPlant\BAS_Evil_SpitPlant_Hurt_02		29066
	75294465	BAS_imp_dagger_dirt	D:\Documents\GitHub\WwiseProject\Wwise Audio Design\.cache\Windows\SFX\Impacts\BAS_imp_dagger_dirt_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Diegetic Sounds\Player\Attack\Weapon_Impact_Type\Impact_Dagger\Impact_Dagger_Dirt\BAS_imp_dagger_dirt		41162
	88173134	Adventuress_Attack_LeftRight (3)	D:\Documents\GitHub\WwiseProject\Wwise Audio Design\.cache\Windows\SFX\Adventuress_Attack_LeftRight (3)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Diegetic Sounds\Player\Attack\Adventuress_Attack\Adventuress_Attack_LeftRight\Adventuress_Attack_LeftRight (3)		132064
	94170696	BAS_Evil_Crawler_Hurt_01	D:\Documents\GitHub\WwiseProject\Wwise Audio Design\.cache\Windows\SFX\Impacts\BAS_Evil_Crawler_Hurt_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Diegetic Sounds\Player\Attack\Weapon_Impact_Type\Impact_Axe\Impact_Axe_EvilCrawler\BAS_Evil_Crawler_Hurt_01		75918
	166651481	Weapon_Swing_Sword	D:\Documents\GitHub\WwiseProject\Wwise Audio Design\.cache\Windows\SFX\Weapon_Swing_Sword_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Diegetic Sounds\Player\Attack\Weapon_Swing\Weapon_Swing_Sword		25816
	174636429	Adventuress_Attack_Top (3)	D:\Documents\GitHub\WwiseProject\Wwise Audio Design\.cache\Windows\SFX\Adventuress_Attack_Top (3)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Diegetic Sounds\Player\Attack\Adventuress_Attack\Adventuress_Attack_Top\Adventuress_Attack_Top (3)		168064
	176178492	Adventuress_Attack_LeftRight (5)	D:\Documents\GitHub\WwiseProject\Wwise Audio Design\.cache\Windows\SFX\Adventuress_Attack_LeftRight (5)_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Diegetic Sounds\Player\Attack\Adventuress_Attack\Adventuress_Attack_LeftRight\Adventuress_Attack_LeftRight (5)		126064
	177312772	BAS_Evil_SpitPlant_Hurt_05	D:\Documents\GitHub\WwiseProject\Wwise Audio Design\.cache\Windows\SFX\Impacts\BAS_Evil_SpitPlant_Hurt_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Diegetic Sounds\Player\Attack\Weapon_Impact_Type\Impact_Axe\Impact_Axe_EvilSpitPlant\BAS_Evil_SpitPlant_Hurt_05		85166
	208211518	BAS_imp_dagger_stone_2	D:\Documents\GitHub\WwiseProject\Wwise Audio Design\.cache\Windows\SFX\Impacts\BAS_imp_dagger_stone_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Diegetic Sounds\Player\Attack\Weapon_Impact_Type\Impact_Dagger\Impact_Dagger_Stone\BAS_imp_dagger_stone_2		25152
